SKY,FLT,DAMAGE,REPORTED_NAME,REMAINS_COLLECTED,BIRDS_SEEN,FAAREGION,REPORTED_DATE,EFFECT_OTHER,REMAINS_SENT,WARNED,INDICATED_DAMAGE,PRECIP,AOS,LOCATION,PHASE_OF_FLT,SPECIES,TYPE_ENG,DISTANCE,ATYPE,EFFECT,HEIGHT,NR_FATALITIES,TIME_OF_DAY,STATE,BIRDS_STRUCK,AC_MASS,AC_CLASS,OPERATOR,SIZE,INCIDENT_DATE,NR_INJURIES,COST_REPAIRS_INFL_ADJ,ENROUTE,RUNWAY,AIRPORT,COMMENTS,COST_OTHER_INFL_ADJ,REMARKS,NUM_ENGS,TIME,SPEED
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,Take-off run,House sparrow,Turbofan,0,DC-9,,0,,,HI,1,4,Airplane,HAWAIIAN AIR,Small,1/1/90 0:00,,,,,LIHUE ARPT,,,,2,,
,,Minor (Civilian),,FALSE,,ASO,,,FALSE,,TRUE,,,,Climb,Gulls,Turbofan,,B-757-200,,,,,KY,1,4,Airplane,DELTA AIR LINES,Medium,1/1/90 0:00,,,,,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT,,HIT GULL AFTER T/O (ASSUME CLIMB). CONTD TO DEST. RADOME DENTED AND TAIL SKIN DAMAGED. MINOR DMG.,2,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Barn owl,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/2/90 0:00,,,,,LIHUE ARPT,,,,,,
,,None (Military),Deleted,FALSE,1,ASO,5/19/00,,FALSE,,FALSE,,,,Approach,Unknown bird - medium,,,A-10A,,200,,Day,SC,1,,Airplane,MILITARY,Medium,1/3/90 0:00,,,,,MYRTLE BEACH INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  A - 10 - ;  IMPACT -  WING PANEL W-61;  NUMBER OF BIRDS (S, F, or Z) -  S",,09:10,138
,,None (Military),Deleted,TRUE,1,ASO,5/19/00,,TRUE,,FALSE,,,,Climb,"Cardinals, buntings, sparrows",,,F-16,,100,,Day,FL,1,,Airplane,MILITARY,Small,1/3/90 0:00,,,,,JACKSONVILLE INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 16 - ;  IMPACT -  CANOPY;  NUMBER OF BIRDS (S, F, or Z) -  S",,09:40,200
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,Landing Roll,Mannikins,Turbofan,0,DC-9,,0,,,HI,1,4,Airplane,HAWAIIAN AIR,Small,1/4/90 0:00,,,,,LIHUE ARPT,,,,2,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/5/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Pacific golden-plover,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/5/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/6/90 0:00,,,,,LIHUE ARPT,,,,,,
,,Minor (Civilian),,FALSE,,,,,FALSE,,TRUE,,,DOTHAN AL,En Route,Unknown bird - medium,Turboprop,,DHC8 DASH 8,,,,,,1,3,Airplane,METRO EXPRESS,Medium,1/7/90 0:00,,,AL,,UNKNOWN,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT,,BIRDTRIKE ON WINDSCREEN. MINOR DMG. DIVERTED AND LANDED AT DOTHAN SAFELY,2,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Spotted dove,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/8/90 0:00,,,,,LIHUE ARPT,,,,,,
Some Cloud,,None (Military),Deleted,FALSE,2-10,ASO,1/14/91,,FALSE,N,FALSE,None,,,Approach,Gulls,Turbofan,,B-737-200,,60,,Day,FL,2-10,4,Airplane,1US AIRWAYS,Medium,1/8/90 0:00,,,,,ORLANDO INTL,,,"NO DAMAGE. HIT A FLOCK, ASSUME 2-10.",2,,150
,,Destroyed (Civilian),Deleted,FALSE,2-10,ASO,,,FALSE,,TRUE,,,,Take-off run,White-tailed deer,Turbojet,0,HAWKER-SDLY HS125,Precautionary Landing,0,,Night,TN,2-10,3,Airplane,BUSINESS,Large,1/11/90 0:00,,"2,635,573",,,JOHN C TUNE ARPT,SOURCE = NEWSPAPER REPT & PHONE CONV W/ ADC KEN GARNER OPERATOR = REN CORP,,A HAWKER SIDDELEY HIT A HERD OF DEER ON T/O. 1 WAS COMPLETELY  INGESTED INTO L ENG. PILOT FLEW TO NASHVILLE INTL APRT. IMPACT  TORE THE ENG LOOSE FROM THE A/C.  REN CORP SUED THE METRO  NASHVILLE ARPT AUTHORITY & JUNE TUNE AVIATION FOR THE COST OF  REPLACING THE A/C & CHARTERING ANOTHER A/C.  LAWSUIT STATES THE  ARPT HAD FAILED TO ERECT A DEER RESISTANT FENCE AROUND THE ARPT  DESPITE WARNINGS FROM FAA IN DEC 87.,2,,100
Overcast,,Substantial (Civilian),,FALSE,2-10,ASW,1/24/91,,FALSE,Y,TRUE,,,,Take-off run,Rock pigeon,Turbofan,0,B-737-300,Precautionary Landing,0,,Day,LA,2-10,4,Airplane,SOUTHWEST AIRLINES,Small,1/11/90 0:00,,,,,LOUIE ARMSTRONG NEW ORLEANS INTL ARPT,,,"HIT A FLOCK, ASSUME 2-10. FAN BLADE FAILURE--FOD FROM FAN BLADE  CAUSE EXTENSIVE FAN & NACELLE DAMAGE.",2,,140
,,None (Military),Deleted,TRUE,1,ASW,5/19/00,,TRUE,,FALSE,,,,Climb,Horned lark,,,F-16,,"1,400",,Day,AR,1,,Airplane,MILITARY,Small,1/11/90 0:00,,,,,FORT SMITH REGIONAL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 16 - ;  IMPACT -  LWR LIP, ENG INTAKE;  NUMBER OF BIRDS (S, F, or Z) -  S",,10:30,200
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,Landing Roll,Mannikins,Turbofan,0,DC-9,,0,,,HI,1,4,Airplane,HAWAIIAN AIR,Small,1/12/90 0:00,,,,,LIHUE ARPT,,,,2,,
,,None (Military),Deleted,FALSE,2-10,AWP,5/19/00,,FALSE,,FALSE,,,,Landing Roll,,,0,E-6,,0,,,HI,2-10,,Airplane,MILITARY,Medium,1/13/90 0:00,,,,,HONOLULU INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  LEAD EDGE OF FLAP BETWEEN #3 & #4 ENG. NAVAL REPRT;  AIRCRAFT -  E - 6 - ;  IMPACT -  #2 ENG INLET COWLING;  NUMBER OF BIRDS (S, F, or Z) -  F",,10:00,160
,,None (Military),Deleted,TRUE,1,ASW,5/19/00,,TRUE,,FALSE,,,,Approach,Horned lark,,,F-16,,"1,500",,Day,AR,1,,Airplane,MILITARY,Small,1/15/90 0:00,,,,,FORT SMITH REGIONAL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 16 - ;  IMPACT -  INTAKE/NLG;  NUMBER OF BIRDS (S, F, or Z) -  S",,11:30,180
,,None (Military),Deleted,TRUE,1,AWP,5/19/00,,FALSE,,FALSE,,,,Climb,Unknown bird - medium,,,C-141B,,10,,Day,CA,1,,Airplane,MILITARY,Medium,1/18/90 0:00,,,,,SAN BERNARDINO INTL ARPT,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  C - 141 - B;  IMPACT -  NOSE;  NUMBER OF BIRDS (S, F, or Z) -  S",,09:00,140
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/19/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Western meadowlark,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/19/90 0:00,,,,,LIHUE ARPT,,,,,,
,,Minor (Civilian),,FALSE,,AGL,,GO-AROUND,FALSE,,TRUE,Fog,,,Landing Roll,White-tailed deer,Reciprocating (Piston),0,PA-28,Other,0,,Dusk,MI,1,1,Airplane,PRIVATELY OWNED,Large,1/19/90 0:00,,,,,JACK BARSTOW,SOURCE = ASIAS BRIEF REPT xxxxxxxxxxxxxxG (x/xx/xx UPDATED ARPT CODE FROM xBS),,"ON LANDING, NOSE GEAR STRUCK A DEER. MADE A GO AROUND AND LANDED. GEAR COLLAPSED WHILE TAXIING. FLT WAS PERSON, PLEASURE.",1,,
,4054,Minor (Civilian),,FALSE,,,,AFFECTED CONTROL,FALSE,,TRUE,,,,Approach,Unknown bird - medium,Reciprocating (Piston),,PA-32,Other,,,Night,,1,1,Airplane,PSA AIRLINES,Medium,1/19/90 0:00,,,CA,,UNKNOWN,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT (x/xx/xx UPDATED OPER),,HIT LRG BIRD IN TRAFFIC PATTERN SACRAMENTO CA (DID NOT SPECIFY SMF OR SAC). IMPACT DAMAGED ELEVATORS IMPAIRING CONTROL BUT LANDED SAFELY,1,,
Overcast,,None (Military),Deleted,FALSE,2-10,ASO,12/19/90,,FALSE,Y,FALSE,None,,,Approach,Sparrows,Turbofan,,DC-8,,300,,Day,KY,2-10,4,Airplane,UPS AIRLINES,Small,1/19/90 0:00,,,,,LOUISVILLE INTL ARPT-STANDIFORD FIELD,,,"NO DAMAGE TO FLT 2281. HIT A FLOCK, ASSUME 2-10.",4,,150
,,Minor (Civilian),,FALSE,2-10,AEA,,,FALSE,,TRUE,Fog,,,Take-off run,Geese,Turbojet,0,LOCKHEED 1329,Aborted Take-off,0,,Day,NJ,2-10,3,Airplane,BUSINESS,Large,1/20/90 0:00,,,,,MORRISTOWN MUNICIPAL ARPT,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT & ASIAS BRIEF REPT xxxxxxxxxxxxxxG  OPER UNKNOWN,,HIT A FLOCK (ASSUME 2-10) OF GEESE. ABORTED T/O. #4 ENG SUFFERED MINOR DMG. THIS WAS AN EXECUTIVE FERRY FLIGHT,4,,
,55,None (Military),Deleted,FALSE,,AEA,6/27/11,,FALSE,,FALSE,,,,Take-off run,Unknown bird,Turbofan,0,B-727,,0,,Day,NY,1,4,Airplane,EASTERN AIRLINE,,1/21/90 0:00,,,,13,LA GUARDIA ARPT,,,"PHASE NOT REPTD, ASSUME T/O RUN. A/C WAS ON DEPARTURE. # STRUCK NOT REPTD, ASSUME 1",3,12:55,
,,Minor (Civilian),,FALSE,,AGL,,,FALSE,,TRUE,,,,Landing Roll,White-tailed deer,Turbojet,0,LEARJET-25,,0,,Night,MN,1,3,Airplane,AIRNET EXPRESS,Large,1/23/90 0:00,,,,,ST. PAUL DOWNTOWN ARPT/HOLMAN FIELD,SOURCE = ASIAS BRIEF REPT xxxxxxxxxxxxxxC,,HIT A DEER ON LANDING ROLLOUT. MINOR DMG VFR. WEATHER NOT A FACTOR.,2,,
,,None (Military),Deleted,FALSE,1,ASO,5/19/00,,FALSE,Y,FALSE,,,"Location inputed -  EGLIN AFB, FL;  Date  -  01/23/1990;  ICAO -  KVPS;  REP ICAO -  KVPS;  MAJCOM -  ACC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",Take-off run,,,0,F-15C,,225,,Day,FL,1,,Airplane,MILITARY,Medium,1/23/90 0:00,,,,,EGLIN AIR FORCE BASE,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  F - 15 - C;  IMPACT -  LEFT RADOME;  NUMBER OF BIRDS (S, F, or Z) -  S",,16:00,142
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/24/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Barn owl,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/25/90 0:00,,,,,LIHUE ARPT,,,,,,
,,None (Military),Deleted,FALSE,2-10,AWP,5/19/00,,FALSE,,FALSE,,,,Climb,Unknown bird - medium,,,A-7K,,2,,Day,AZ,2-10,,Airplane,MILITARY,Medium,1/25/90 0:00,,,,,TUCSON INTL,SOURCE = BASH NR xxxxx,,"REMARKS -  ;  AIRCRAFT -  A - 7 - K;  IMPACT -  LEFT WING;  NUMBER OF BIRDS (S, F, or Z) -  F",,13:40,145
,,Minor (Civilian),,FALSE,,AGL,,,FALSE,,TRUE,,,,Approach,Geese,Reciprocating (Piston),,AA-5,,,,Dusk,MI,1,1,Airplane,PRIVATELY OWNED,Large,1/26/90 0:00,,,MI,,KALAMAZOO/BATTLE CREEK INTL,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT & ASIAS BRIEF REPT xxxxxxxxxxxxxxG,,"GOOSE BROKE WINDSHLD ON FINAL APCH.. LANDED SAFELY, MINOR DMG. NO INJURY. GENERAL AVIATION.",1,,
,,Minor (Civilian),,FALSE,,,,,FALSE,,TRUE,,,,Climb,Geese,Reciprocating (Piston),,BE-36,Precautionary Landing,,,,,1,1,Airplane,PRIVATELY OWNED,Large,1/26/90 0:00,,,,,UNKNOWN,SOURCE = FAA AIRCRAFT ACCIDENT/INCIDENT REPT,,"HIT WILD GOOSE ON CLIMBOUT. RETD AND LANDED W/O INCIDENT. MINOR DMG. AIRPORT REPTD ONLY AS DAVIS, CA.  TWO AIRPORTS THERE.",1,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/28/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Spotted dove,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/29/90 0:00,,,,,LIHUE ARPT,,,,,,
,,,,TRUE,,AWP,,,FALSE,,FALSE,,,,,Mannikins,,0,UNKNOWN,,,,,HI,1,,,UNKNOWN,Small,1/30/90 0:00,,,,,LIHUE ARPT,,,,,,
