Spine,Title,Netflix Streaming,URL,Director,Country,Year,Parent
1,Grand Illusion,true,http://www.netflix.com/WiMovie/Grand_Illusion/21929903,Jean Renoir,France,1937,
2,Seven Samurai,true,http://www.netflix.com/WiMovie/Seven_Samurai/950727,Akira Kurosawa,Japan,1954,
3,The Lady Vanishes,true,http://www.netflix.com/Movie/The_Lady_Vanishes/682083,Alfred Hitchcock,United Kingdom,1938,
4,Amarcord,true,http://www.netflix.com/WiMovie/Amarcord/247784,Federico Fellini,Italy,1974,
5,The 400 Blows,true,http://www.netflix.com/WiMovie/The_400_Blows/70048120,François Truffaut,France,1959,
6,Beauty and the Beast,true,http://www.netflix.com/WiMovie/Beauty_and_the_Beast/11519928,Jean Cocteau,France,1946,
7,A Night to Remember,false,http://www.netflix.com/Movie/A_Night_to_Remember/805507,Roy Ward Baker,United Kingdom,1958,
8,The Killer,false,http://www.netflix.com/Movie/The_Killer/70020140,John Woo,Hong Kong,1989,
9,Hard Boiled,false,http://www.netflix.com/Movie/Hard_Boiled/70069755,John Woo,Hong Kong,1992,
10,Walkabout,true,http://www.netflix.com/Movie/Walkabout/1101378,Nicolas Roeg,Australia,1971,
11,The Seventh Seal,true,http://www.netflix.com/Movie/The_Seventh_Seal/70127971,Ingmar Bergman,Sweden,1957,
12,This Is Spinal Tap,false,http://www.netflix.com/Movie/This_Is_Spinal_Tap/1040339,Rob Reiner,United States,1984,
13,The Silence of the Lambs,false,http://www.netflix.com/Movie/The_Silence_of_the_Lambs/14546747,Jonathan Demme,United States,1991,
14,Samurai I: Musashi Miyamoto,false,http://www.netflix.com/Movie/Samurai_Trilogy_1_Musashi_Miyamoto/11519960,Hiroshi Inagaki,Japan,1954,
15,Samurai II: Duel at Ichijoji Temple,false,http://www.netflix.com/Movie/Samurai_Trilogy_2_Duel_at_Ichijoji_Temple/11520079,Hiroshi Inagaki,Japan,1955,
