FlightNum,TaxiIn,WheelsOff,OriginCityName,SecurityDelay,DepTime,DepDelay,WeatherDelay,CRSArrTime,OriginCityMarketID,DayofMonth,DayOfWeek,TaxiOut,Dest,CRSElapsedTime,ArrTimeBlk,ArrDelay,AirTime,CarrierDelay,WheelsOn,CRSDepTime,Diverted,Distance,UniqueCarrier,DestCityMarketID,DepTimeBlk,DepDel15,DestState,NASDelay,FlightDate,ArrDel15,Cancelled,TailNum,Quarter,Origin,OriginState,LateAircraftDelay,Month,ActualElapsedTime,Year,ArrTime,DestCityName
2089,3.00,2055,"Atlanta, GA",,2040,15.00,,2141,30397,3,7,15.00,JAX,76.00,2100-2159,-1.00,42.00,,2137,2025,No,270.00,DL,31136,2000-2059,1.00,FL,,2010-01-03,0.00,No,N623DL,1,ATL,GA,,1,60.00,2010,2140,"Jacksonville, FL"
959,,,"Charlotte, NC",,,,,0005,31057,3,7,,FLL,115.00,0001-0559,,,,,2210,No,631.00,US,32467,2200-2259,,FL,,2010-01-03,,Yes,,1,CLT,NC,,1,,2010,,"Fort Lauderdale, FL"
5241,2.00,1919,"Atlanta, GA",,1901,-5.00,,1957,30397,3,7,18.00,CHA,51.00,1900-1959,-13.00,23.00,,1942,1906,No,106.00,EV,30980,1900-1959,0.00,TN,,2010-01-03,0.00,No,N834AS,1,ATL,GA,,1,43.00,2010,1944,"Chattanooga, TN"
6818,5.00,1755,"Seattle, WA",,1747,-3.00,,1834,30559,6,3,8.00,PDX,44.00,1800-1859,-1.00,33.00,,1828,1750,No,129.00,OO,34057,1700-1759,0.00,OR,,2010-01-06,0.00,No,N290SW,1,SEA,WA,,1,46.00,2010,1833,"Portland, OR"
1604,19.00,1233,"Atlanta, GA",,1219,-8.00,,1358,30397,9,6,14.00,RIC,91.00,1300-1359,0.00,66.00,,1339,1227,No,481.00,DL,34524,1200-1259,0.00,VA,,2010-01-09,0.00,No,N920DE,1,ATL,GA,,1,99.00,2010,1358,"Richmond, VA"
2486,9.00,1450,"Las Vegas, NV",,1432,-5.00,,2140,32211,6,3,18.00,DTW,243.00,2100-2159,-24.00,197.00,,2107,1437,No,1750.00,DL,31295,1400-1459,0.00,MI,,2010-01-06,0.00,No,N518US,1,LAS,NV,,1,224.00,2010,2116,"Detroit, MI"
1076,5.00,0947,"Newark, NJ",,0906,6.00,,1233,31703,5,2,41.00,RSW,213.00,1200-1259,-2.00,159.00,,1226,0900,No,1068.00,CO,31714,0900-0959,0.00,FL,,2010-01-05,0.00,No,N19136,1,EWR,NJ,,1,205.00,2010,1231,"Fort Myers, FL"
2047,2.00,1952,"Dallas, TX",,1943,3.00,,2025,30194,4,1,9.00,ELP,105.00,2000-2059,-10.00,81.00,,2013,1940,No,562.00,WN,30615,1900-1959,0.00,TX,,2010-01-04,0.00,No,N308SA,1,DAL,TX,,1,92.00,2010,2015,"El Paso, TX"
5945,4.00,1855,"San Francisco, CA",,1845,-4.00,,1958,32457,8,5,10.00,BUR,69.00,1900-1959,-9.00,50.00,,1945,1849,No,326.00,OO,32575,1800-1859,0.00,CA,,2010-01-08,0.00,No,N948SW,1,SFO,CA,,1,64.00,2010,1949,"Burbank, CA"
672,4.00,1941,"Charlotte Amalie, VI",0.00,1928,103.00,0.00,1945,34945,9,6,13.00,MIA,180.00,1900-1959,77.00,137.00,0.00,2058,1745,No,1107.00,AA,32467,1700-1759,1.00,FL,0.00,2010-01-09,1.00,No,N5DLAA,1,STT,VI,77.00,1,154.00,2010,2102,"Miami, FL"
5083,34.00,1405,"Fayetteville, NC",,1350,-3.00,,1525,31641,6,3,15.00,ATL,92.00,1500-1559,14.00,60.00,,1505,1353,No,331.00,EV,30397,1300-1359,0.00,GA,,2010-01-06,0.00,No,N928EV,1,FAY,NC,,1,109.00,2010,1539,"Atlanta, GA"
730,4.00,0906,"Seattle, WA",,0855,-5.00,,1520,30559,5,2,11.00,IAH,260.00,1500-1559,-34.00,216.00,,1442,0900,No,1874.00,AS,31453,0900-0959,0.00,TX,,2010-01-05,0.00,No,N568AS,1,SEA,WA,,1,231.00,2010,1446,"Houston, TX"
1951,,,"Washington, DC",,,,,0801,30852,5,2,,ATL,121.00,0800-0859,,,,,0600,No,547.00,DL,30397,0600-0659,,GA,,2010-01-05,,Yes,N3765,1,DCA,VA,,1,,2010,,"Atlanta, GA"
2435,5.00,2112,"New York, NY",,2035,5.00,,2354,31703,7,4,37.00,RSW,204.00,2300-2359,13.00,170.00,,0002,2030,No,1080.00,DL,31714,2000-2059,0.00,FL,,2010-01-07,0.00,No,N353NB,1,LGA,NY,,1,212.00,2010,0007,"Fort Myers, FL"
61,18.00,1409,"New York, NY",0.00,1343,44.00,0.00,1604,31703,3,7,26.00,FLL,185.00,1600-1659,65.00,162.00,44.00,1651,1259,No,1069.00,B6,32467,1200-1259,1.00,FL,21.00,2010-01-03,1.00,No,N629JB,1,JFK,NY,0.00,1,206.00,2010,1709,"Fort Lauderdale, FL"
1592,19.00,0628,"Atlanta, GA",,0617,-8.00,,0822,30397,7,4,11.00,PHL,117.00,0800-0859,-2.00,93.00,,0801,0625,No,665.00,US,34100,0600-0659,0.00,PA,,2010-01-07,0.00,No,N946UW,1,ATL,GA,,1,123.00,2010,0820,"Philadelphia, PA"
3404,5.00,1047,"Orlando, FL",,1039,-1.00,,1140,31454,4,1,8.00,BNA,120.00,1100-1159,-11.00,97.00,,1124,1040,No,616.00,WN,30693,1000-1059,0.00,TN,,2010-01-04,0.00,No,N913WN,1,MCO,FL,,1,110.00,2010,1129,"Nashville, TN"
2835,7.00,2013,"Phoenix, AZ",,1950,-5.00,,2308,30466,5,2,23.00,AUS,133.00,2300-2359,2.00,110.00,,2303,1955,No,872.00,YV,30423,1900-1959,0.00,TX,,2010-01-05,0.00,No,N930LR,1,PHX,AZ,,1,140.00,2010,2310,"Austin, TX"
749,4.00,1942,"New York, NY",,1925,-5.00,,2325,31703,9,6,17.00,SAN,415.00,2300-2359,-95.00,304.00,,2146,1930,No,2446.00,DL,33570,1900-1959,0.00,CA,,2010-01-09,0.00,No,N37700,1,JFK,NY,,1,325.00,2010,2150,"San Diego, CA"
885,26.00,1416,"San Diego, CA",,1403,-7.00,,1910,33570,3,7,13.00,DFW,180.00,1900-1959,-3.00,145.00,,1841,1410,No,1171.00,AA,30194,1400-1459,0.00,TX,,2010-01-03,0.00,No,N497AA,1,SAN,CA,,1,184.00,2010,1907,"Dallas/Fort Worth, TX"
156,3.00,1150,"Kansas City, MO",,1141,1.00,,1325,33198,4,1,9.00,SAN,225.00,1300-1359,-33.00,179.00,,1249,1140,No,1333.00,WN,33570,1100-1159,0.00,CA,,2010-01-04,0.00,No,N601WN,1,MCI,MO,,1,191.00,2010,1252,"San Diego, CA"
5525,8.00,0613,"Syracuse, NY",,0548,-2.00,,0847,35096,8,5,25.00,ATL,177.00,0800-0859,-27.00,119.00,,0812,0550,No,793.00,EV,30397,0001-0559,0.00,GA,,2010-01-08,0.00,No,N376CA,1,SYR,NY,,1,152.00,2010,0820,"Atlanta, GA"
1287,3.00,0706,"San Jose, CA",,0659,-1.00,,0950,32457,9,6,7.00,PHX,110.00,0900-0959,-15.00,86.00,,0932,0700,No,622.00,WN,30466,0700-0759,0.00,AZ,,2010-01-09,0.00,No,N295WN,1,SJC,CA,,1,96.00,2010,0935,"Phoenix, AZ"
3044,4.00,2003,"Pittsburgh, PA",0.00,1925,35.00,0.00,1920,30198,3,7,38.00,MKE,90.00,1900-1959,54.00,67.00,35.00,2010,1850,No,431.00,OO,33342,1800-1859,1.00,WI,19.00,2010-01-03,1.00,No,N498CA,1,PIT,PA,0.00,1,109.00,2010,2014,"Milwaukee, WI"
915,3.00,0755,"Charlotte, NC",,0745,-5.00,,0929,31057,7,4,10.00,TPA,99.00,0900-0959,-18.00,73.00,,0908,0750,No,508.00,US,33195,0700-0759,0.00,FL,,2010-01-07,0.00,No,N114UW,1,CLT,NC,,1,86.00,2010,0911,"Tampa, FL"
281,7.00,1217,"Dallas/Fort Worth, TX",,1207,-3.00,,1352,30194,7,4,10.00,PHX,162.00,1300-1359,-8.00,140.00,,1337,1210,No,868.00,US,30466,1200-1259,0.00,AZ,,2010-01-07,0.00,No,N303AW,1,DFW,TX,,1,157.00,2010,1344,"Phoenix, AZ"
5050,,,"Akron, OH",,,,,1228,30647,8,5,,ATL,113.00,1200-1259,,,,,1035,No,528.00,EV,30397,1000-1059,,GA,,2010-01-08,,Yes,N722EV,1,CAK,OH,,1,,2010,,"Atlanta, GA"
2919,5.00,1513,"Hartford, CT",0.00,1456,56.00,0.00,1540,30529,3,7,17.00,BNA,160.00,1500-1559,45.00,127.00,0.00,1620,1400,No,852.00,WN,30693,1400-1459,1.00,TN,0.00,2010-01-03,1.00,No,N730SW,1,BDL,CT,45.00,1,149.00,2010,1625,"Nashville, TN"
150,2.00,0831,"Philadelphia, PA",,0732,2.00,,1033,34100,8,5,59.00,SAN,363.00,1000-1059,3.00,303.00,,1034,0730,No,2369.00,US,33570,0700-0759,0.00,CA,,2010-01-08,0.00,No,N507AY,1,PHL,PA,,1,364.00,2010,1036,"San Diego, CA"
1114,7.00,0644,"Miami, FL",,0634,-1.00,,0930,32467,4,1,10.00,LGA,175.00,0900-0959,-20.00,139.00,,0903,0635,No,1097.00,AA,31703,0600-0659,0.00,NY,,2010-01-04,0.00,No,N5DSAA,1,MIA,FL,,1,156.00,2010,0910,"New York, NY"
1536,3.00,0819,"Fort Lauderdale, FL",,0801,1.00,,0910,32467,7,4,18.00,MSY,130.00,0900-0959,-2.00,106.00,,0905,0800,No,673.00,WN,33495,0800-0859,0.00,LA,,2010-01-07,0.00,No,N513SW,1,FLL,FL,,1,127.00,2010,0908,"New Orleans, LA"
