Creative Type,US DVD Sales,Running Time (min),Production Budget,Source,US Gross,Title,Release Date,Director,Rotten Tomatoes Rating,Major Genre,Worldwide Gross,Distributor,MPAA Rating,IMDB Rating,IMDB Votes
,0,0,8000000,,146083,The Land Girls,12-Jun-1998,,0,,146083,Gramercy,R,6.1,1071
,0,0,300000,,10876,"First Love, Last Rites",7-Aug-1998,,0,Drama,10876,Strand,R,6.9,207
,0,0,250000,,203134,I Married a Strange Person,28-Aug-1998,,0,Comedy,203134,Lionsgate,,6.8,865
,0,0,300000,,373615,Let's Talk About Sex,11-Sep-1998,,13,Comedy,373615,Fine Line,,0,0
Contemporary Fiction,0,0,1000000,Original Screenplay,1009819,Slam,9-Oct-1998,,62,Drama,1087521,Trimark,R,3.4,165
,0,0,1600000,,24551,Mississippi Mermaid,15-Jan-1999,,0,,2624551,MGM,,0,0
,0,0,6000,,44705,Following,4-Apr-1999,Christopher Nolan,0,,44705,Zeitgeist,R,7.7,15133
Contemporary Fiction,0,0,1600000,Original Screenplay,6026908,Foolish,9-Apr-1999,,0,Comedy,6026908,Artisan,R,3.8,353
,0,0,40000000,,1641825,Pirates,1-Jul-1986,Roman Polanski,25,,6341825,,R,5.8,3275
,0,0,6000000,,20400000,Duel in the Sun,31-Dec-1946,,86,,20400000,,,7,2906
,0,0,1000000,,37600000,Tom Jones,7-Oct-1963,,81,,37600000,,,7,4035
,0,0,10000000,,37402877,Oliver!,11-Dec-1968,,84,Musical,37402877,Sony Pictures,,7.5,9111
,0,0,2000000,,13129846,To Kill A Mockingbird,25-Dec-1962,,97,,13129846,Universal,,8.4,82786
,0,0,25000000,,29548291,"Tora, Tora, Tora",23-Sep-1970,Richard Fleischer,0,,29548291,,,0,0
,0,0,100000,,5228617,Hollywood Shuffle,1-Mar-1987,,87,,5228617,,,6.8,1532
,0,0,100000,,3000000,Over the Hill to the Poorhouse,17-Sep-20,,0,,3000000,,,0,0
,0,0,5200000,,2000000,Wilson,1-Aug-1944,,0,,2000000,,,7,451
,0,0,22000000,,5000000,Darling Lili,1-Jan-1970,Blake Edwards,0,,5000000,,,6.1,858
,0,0,13500000,,80000000,The Ten Commandments,5-Oct-1956,,90,,80000000,,,2.5,1677
,0,0,340000,Original Screenplay,0,12 Angry Men,13-Apr-1957,Sidney Lumet,0,Drama,0,United Artists,,8.9,119101
Science Fiction,0,0,29000000,Based on Short Film,57141459,Twelve Monkeys,27-Dec-1995,Terry Gilliam,0,Drama,168841459,Universal,R,8.1,169858
Historical Fiction,0,0,4000000,Based on Play,0,1776,9-Nov-1972,,57,Drama,0,Sony/Columbia,PG,7,4099
Historical Fiction,0,0,32000000,Original Screenplay,34175000,1941,14-Dec-1979,Steven Spielberg,33,Comedy,94875000,Universal,,5.6,13364
,0,0,1900000,Original Screenplay,18435,Chacun sa nuit,29-Jun-2007,,0,Thriller/Suspense,18435,Strand,Not Rated,6.3,365
Science Fiction,0,0,10500000,Original Screenplay,56700000,2001: A Space Odyssey,2-Apr-1968,Stanley Kubrick,96,,68700000,,,8.4,160342
,0,0,5000000,Based on Book/Short Story,28200000,"20,000 Leagues Under the Sea",23-Dec-1954,Richard Fleischer,92,Adventure,28200000,Walt Disney Pictures,,0,0
,0,0,200000,Based on Book/Short Story,8000000,"20,000 Leagues Under the Sea",24-Dec-16,,0,Adventure,8000000,,,0,0
,0,0,2000000,Original Screenplay,72544,24 7: Twenty Four Seven,15-Apr-1998,Shane Meadows,0,Comedy,72544,October Films,R,6.9,1417
Contemporary Fiction,0,0,500000,Original Screenplay,985341,Twin Falls Idaho,30-Jul-1999,Michael Polish,77,Drama,1027228,Sony Pictures Classics,R,7.1,2810
Historical Fiction,0,0,20000000,Based on Book/Short Story,0,Three Kingdoms: Resurrection of the Dragon,3-Apr-2008,,0,Action,22139590,,R,0,0
